MERGED PACK — 634 total presets
Custom 1–155 = Realistic World (named below)
Custom 156–634 = Previous packs (no individual names)
======================================================================

REALISTIC SECTION (Custom number | Brand | Name | Era)
Custom 134 | Peugeot            | Elixir Red                   | 2020-2026
Custom 135 | Volvo              | Crystal White Pearl          | 2015-2026
Custom 136 | Volvo              | Denim Blue                   | 2015-2026
Custom 137 | Volvo              | Onyx Black                   | 2015-2026
Custom 138 | Opel               | Power Red                    | 2015-2026
Custom 139 | Opel               | Jade Green                   | 2015-2026
Custom 140 | TOGG               | Anadolu Kirmizi              | 2023-2026
Custom 141 | TOGG               | Gemlik Mavi                  | 2023-2026
Custom 142 | TOGG               | Oltu Siyah                   | 2023-2026
Custom 143 | TOGG               | Pamukkale Beyaz              | 2023-2026
Custom 144 | BYD                | Emperor Red                  | 2020-2026
Custom 145 | BYD                | Snow White                   | 2020-2026
Custom 146 | MG                 | Hunter Green                 | 2022-2026
Custom 147 | Hyundai            | Gravity Gold Matte           | 2020-2026
Custom 148 | Hyundai            | Digital Teal                 | 2020-2026
Custom 149 | Classic GM         | Bahama Yellow                | 1960-1970
Custom 150 | Classic Mopar      | Panther Pink                 | 1970
Custom 151 | Classic Mopar      | Lemon Squeeze                | 1970
Custom 152 | Classic Ford       | Vitamin C                    | 1970
Custom 153 | Classic Porsche    | Graugruen                    | 1970s
Custom 154 | Gulf Heritage      | Gulf Blue                    | 1960-1970
Custom 155 | Gulf Heritage      | Gulf Orange                  | 1960-1970
